,Unnamed: 0,Name,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(km/kg),Engine(cc),Power(bhp),Seats,Price(in Lakh)
0,0,Maruti Wagon R,Maruti,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75
1,1,Hyundai Creta 1.6,Hyundai,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5
2,2,Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5
3,3,Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6
4,4,Audi A4 New,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74
5,5,Hyundai EON LPG,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35
6,6,Nissan Micra Diesel,Nissan,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5
7,7,Toyota Innova Crysta,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5
8,8,Volkswagen Vento Diesel,Volkswagen,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2
9,9,Tata Indica Vista,Tata,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95
10,10,Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95
11,11,Honda City 1.5,Honda,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49
12,12,Maruti Swift VDI,Maruti,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5,5.6
13,13,Land Rover Range,Land,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27
14,14,Land Rover Freelander,Land,Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,17.5
15,15,Mitsubishi Pajero Sport,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15
16,16,Honda Amaze S,Honda,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4
17,17,Maruti Swift DDiS,Maruti,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5,5.99
18,18,Renault Duster 85PS,Renault,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34
19,19,Mercedes-Benz New C-Class,Mercedes-Benz,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28
20,20,BMW 3 Series,BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55
21,21,Maruti S Cross,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25
22,22,Audi A6 2011-2015,Audi,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5
23,23,Hyundai i20 1.2,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5,1.87
24,24,Volkswagen Vento Petrol,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85
25,25,Honda City Corporate,Honda,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25
26,26,Nissan Micra Diesel,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25
